order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD489385,ID0593055577,2019-06-06,Nickolson,"[('Thunder line', 2), ('Alcon 10', 1), ('iStream', 2), ('Olivia x460', 2)]",16060,50.61,-37.8114635,144.963864,25,12095.61,Winter,False,0.9383,"i bought this phone for my mom in africa, ... i bought this phone for my mom in africa, but she couldn't use it because the 3 or 4g they said this phone had couldn't hold i guess the 4g is only available to at&t customers who use this phone only in the us.",False
ORD209758,ID4360100212,2019-07-12,Bakers,"[('Olivia x460', 2), ('pearTV', 1), ('Thunder line', 2), ('Candle Inferno', 2)]",13980,80.33,-37.81726370000001,145.00607730000004,15,11963.33,Winter,True,1.2507,"five stars works great, affordable. looking for another phone. would buy from same seller.",True
ORD101470,ID0361797209,2019-01-13,Nickolson,"[('Olivia x460', 2), ('iStream', 2)]",2750,78.18,-37.8074899,144.97862969999997,0,2828.18,Summer,False,1.4716,"five stars good phone, arrived on time, is factory unlocked, high quality.",True
ORD171003,ID1492150977,2019-09-09,Thompson,"[('Alcon 10', 1), ('Thunder line', 1), ('Toshika 750', 2), ('Candle Inferno', 1)]",20200,74.47,-37.8141665,144.9518734,5,19264.47,Spring,False,0.454,,True
ORD426363,ID2776396935,2019-07-17,Nickolson,"[('iAssist Line', 1), ('Alcon 10', 1), ('Olivia x460', 1)]",12400,77.93,-37.8129664,144.9634303,5,11857.93,Winter,True,0.826,"great product ! it checks all of the boxes, plus some. if you want a powerful, long-lasting phone at a reasonable price, then this is the one for you. it is highly recommended. it was delivered promptly and in good condition.",True
ORD211806,ID3345061639,2019-08-30,Nickolson,"[('Thunder line', 2), ('Olivia x460', 1), ('Candle Inferno', 2), ('iAssist Line', 1)]",8670,66.37,-37.8254649,144.957204,15,7435.87,Winter,False,1.328,five stars beautiful and excellent phone! thanks,True
ORD414763,ID6167191176,2019-05-15,Nickolson,"[('Toshika 750', 1), ('iStream', 1), ('Olivia x460', 1)]",5695,80.11,-37.8175449,144.9590781,15,4920.86,Autumn,True,0.9283,"very good. good buy works very well, very good. good buy.",True
ORD126013,ID3418628459,2019-04-28,Bakers,"[('Toshika 750', 2), ('iAssist Line', 2), ('iStream', 2), ('Universe Note', 1)]",16840,52.19,-37.799482,144.98058569999995,0,16892.19,Autumn,False,1.7405,"batterty died 90days after purchase i bought the phone for my mom and opted for the ""like new"" phone which was a few $$ more. the battery no longer charges and a replacement battery is $70.00. would not consider this like new.",False
ORD003077,ID4754200410,2019-05-21,Thompson,"[('Candle Inferno', 2), ('Universe Note', 1), ('iAssist Line', 2), ('Alcon 10', 2)]",26660,71.1,-37.8169557,144.9274136,25,20066.1,Autumn,False,1.793,"she loves it, the only problem i have is getting it away from her, even while riding in vehicles. lol",True
ORD094365,ID6167191704,2019-12-24,Thompson,"[('Toshika 750', 1), ('Olivia x460', 1)]",5545,59.64,-37.8187764,144.9553333,25,4218.39,Summer,False,0.9949,this phone get hot enough tp cook and egg on ... this phone get hot enough tp cook and egg on when ever you try to do anything with it. do not buy this!,False
ORD027627,ID6167266654,2019-11-28,Nickolson,"[('iStream', 2), ('iAssist Line', 2), ('Alcon 10', 1), ('Toshika 750', 1)]",18020,80.1,-37.8097533,144.963887,25,13595.1,Spring,False,1.1031,great smartphone great smartphone,True
