order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD466786,ID1327098179,2019-06-06,Nickolson,"[('Candle Inferno', 2), ('Olivia x460', 2), ('Lucent 330S', 2)]",5770,63.02,-37.8137047,144.9655369,0,5833.02,Winter,False,0.6488,amazing for a refurbished phone. the actual usability and sleekness of this phone is fantastic. the only thing i noticed was that it had a very small scuff mark in the top right corner. but i wasn't expecting perfect when i bought a refurbished phone so i'm still very happy with it.,True
ORD304521,ID4957761326,2019-03-28,Thompson,"[('Alcon 10', 1), ('iAssist Line', 1), ('Thunder line', 1)]",13355,84.37,-37.82459160000001,144.92900569999995,5,12771.62,Autumn,True,2.0696,notes are awesome love it even though i sure do miss my note 7 ;-(,True
ORD378380,ID0643985980,2019-10-07,Bakers,"[('Universe Note', 2), ('Toshika 750', 2)]",15540,100.88,-37.8152997,144.9902847,10,14086.88,Spring,True,0.7334,good product fast operation,True
ORD477274,ID2190625294,2019-10-07,Nickolson,"[('Universe Note', 1), ('Candle Inferno', 1), ('iAssist Line', 2)]",8330,80.25,-37.80962150000001,144.96362140000005,15,7160.75,Spring,False,1.1268,great my mom love it,True
ORD444138,ID2950388058,2019-03-03,Nickolson,"[('iStream', 1), ('Olivia x460', 2), ('pearTV', 1)]",8910,78.43,-37.8195356,144.96165159999995,10,8097.43,Autumn,True,0.7025,five stars i love this phone...,True
ORD117961,ID0571731478,2019-02-24,Thompson,"[('Lucent 330S', 2), ('Alcon 10', 2), ('iStream', 1), ('Universe Note', 2)]",27410,63.29,-37.8243813,144.9443662,15,23361.79,Summer,False,1.3248,iassist functions until yopu attempt to connect to multiple devices. then technical suppprt is worthless!,False
ORD370012,ID4733727855,2019-11-08,Thompson,"[('Alcon 10', 1), ('Olivia x460', 1), ('iStream', 1), ('Universe Note', 1)]",13775,79.38,-37.8042178,144.9488784,10,12476.88,Spring,False,0.9546,phone was nice its nice,True
ORD444016,ID0664377811,2019-11-14,Nickolson,"[('Olivia x460', 2), ('Lucent 330S', 1)]",3680,80.3,-37.8207529,144.9669809,5,3576.3,Spring,True,0.3298,"hate this phone. i hate this phone. overheat after taking 15 second video. the sound card broke within a year. then took toshika a month to fix it. meanwhile i had to get myself a new phone because they were fixing it. the battery life is so short. run out so fast no music, no video still last then a day.",False
ORD119290,ID6167417901,2019-05-16,Thompson,"[('Alcon 10', 1), ('Thunder line', 2), ('Lucent 330S', 1)]",14540,78.67,-37.81723770000001,144.9532366,0,14618.67,Autumn,True,0.7432,bang for the buck totally worth the price works even better than ones i have bought in store i will and continue to shop on digico,True
ORD145897,ID0233262488,2019-08-26,Bakers,"[('Universe Note', 2), ('Toshika 750', 2), ('iAssist Line', 1), ('Candle Inferno', 1)]",18195,81.55,-37.80307970000001,144.97997990000005,25,13727.8,Winter,True,1.5467,i love it.....reading e books here is so easyperfect for price,True
ORD198074,ID3777872789,2019-07-29,Thompson,"[('Candle Inferno', 1), ('Lucent 330S', 1), ('Toshika 750', 1)]",5980,48.46,-37.8091482,144.94249399999995,0,6028.46,Winter,False,0.562,"horrid!! this phone was slow and glitchy. i was pissed when i started using it, i'd had the same one before and missed it, so i ordered this one and was very disappointed",False
